image_id,relative_path,participant_id,session_id,split,face_count,width,height,consent_confirmed
Alexandra Daddario_1,processed\test\Alexandra Daddario\Alexandra Daddario_1.jpg,Alexandra Daddario,session_01,test,1,721,960,True
Alexandra Daddario_10,processed\train\Alexandra Daddario\Alexandra Daddario_10.jpg,Alexandra Daddario,session_01,train,1,2560,1440,True
Alexandra Daddario_14,processed\test\Alexandra Daddario\Alexandra Daddario_14.jpg,Alexandra Daddario,session_01,test,1,1200,1744,True
Alexandra Daddario_16,processed\train\Alexandra Daddario\Alexandra Daddario_16.jpg,Alexandra Daddario,session_01,train,1,1200,1800,True
Alexandra Daddario_17,processed\train\Alexandra Daddario\Alexandra Daddario_17.jpg,Alexandra Daddario,session_01,train,1,683,1024,True
Alexandra Daddario_18,processed\train\Alexandra Daddario\Alexandra Daddario_18.jpg,Alexandra Daddario,session_01,train,1,1440,810,True
Alexandra Daddario_19,processed\train\Alexandra Daddario\Alexandra Daddario_19.jpg,Alexandra Daddario,session_01,train,1,1280,1551,True
Alexandra Daddario_2,processed\validation\Alexandra Daddario\Alexandra Daddario_2.jpg,Alexandra Daddario,session_01,validation,1,1280,1921,True
Alexandra Daddario_22,processed\test\Alexandra Daddario\Alexandra Daddario_22.jpg,Alexandra Daddario,session_01,test,1,682,633,True
Alexandra Daddario_23,processed\test\Alexandra Daddario\Alexandra Daddario_23.jpg,Alexandra Daddario,session_01,test,1,1250,1875,True
Alexandra Daddario_24,processed\train\Alexandra Daddario\Alexandra Daddario_24.jpg,Alexandra Daddario,session_01,train,1,1280,1589,True
Alexandra Daddario_27,processed\train\Alexandra Daddario\Alexandra Daddario_27.jpg,Alexandra Daddario,session_01,train,1,1024,618,True
Alexandra Daddario_28,processed\test\Alexandra Daddario\Alexandra Daddario_28.jpg,Alexandra Daddario,session_01,test,1,360,440,True
Alexandra Daddario_3,processed\train\Alexandra Daddario\Alexandra Daddario_3.jpg,Alexandra Daddario,session_01,train,1,1280,1920,True
Alexandra Daddario_30,processed\test\Alexandra Daddario\Alexandra Daddario_30.jpg,Alexandra Daddario,session_01,test,1,1280,1792,True
Alexandra Daddario_31,processed\train\Alexandra Daddario\Alexandra Daddario_31.jpg,Alexandra Daddario,session_01,train,1,1280,1792,True
Alexandra Daddario_34,processed\train\Alexandra Daddario\Alexandra Daddario_34.jpg,Alexandra Daddario,session_01,train,1,1200,1762,True
Alexandra Daddario_36,processed\train\Alexandra Daddario\Alexandra Daddario_36.jpg,Alexandra Daddario,session_01,train,1,1280,1862,True
Alexandra Daddario_38,processed\test\Alexandra Daddario\Alexandra Daddario_38.jpg,Alexandra Daddario,session_01,test,1,640,427,True
Alexandra Daddario_39,processed\train\Alexandra Daddario\Alexandra Daddario_39.jpg,Alexandra Daddario,session_01,train,1,700,933,True
Alexandra Daddario_4,processed\validation\Alexandra Daddario\Alexandra Daddario_4.jpg,Alexandra Daddario,session_01,validation,1,1200,1800,True
Alexandra Daddario_40,processed\train\Alexandra Daddario\Alexandra Daddario_40.jpg,Alexandra Daddario,session_01,train,1,1200,1617,True
Alexandra Daddario_41,processed\train\Alexandra Daddario\Alexandra Daddario_41.jpg,Alexandra Daddario,session_01,train,1,936,1342,True
Alexandra Daddario_42,processed\train\Alexandra Daddario\Alexandra Daddario_42.jpg,Alexandra Daddario,session_01,train,1,1728,2160,True
Alexandra Daddario_43,processed\train\Alexandra Daddario\Alexandra Daddario_43.jpg,Alexandra Daddario,session_01,train,1,600,851,True
Alexandra Daddario_45,processed\train\Alexandra Daddario\Alexandra Daddario_45.jpg,Alexandra Daddario,session_01,train,1,700,1000,True
Alexandra Daddario_46,processed\train\Alexandra Daddario\Alexandra Daddario_46.jpg,Alexandra Daddario,session_01,train,1,1280,1532,True
Alexandra Daddario_47,processed\validation\Alexandra Daddario\Alexandra Daddario_47.jpg,Alexandra Daddario,session_01,validation,1,800,1423,True
Alexandra Daddario_48,processed\train\Alexandra Daddario\Alexandra Daddario_48.jpg,Alexandra Daddario,session_01,train,1,1200,1703,True
Alexandra Daddario_51,processed\test\Alexandra Daddario\Alexandra Daddario_51.jpg,Alexandra Daddario,session_01,test,1,1280,1595,True
Alexandra Daddario_52,processed\validation\Alexandra Daddario\Alexandra Daddario_52.jpg,Alexandra Daddario,session_01,validation,1,1280,1797,True
Alexandra Daddario_53,processed\test\Alexandra Daddario\Alexandra Daddario_53.jpg,Alexandra Daddario,session_01,test,1,1280,1863,True
Alexandra Daddario_57,processed\validation\Alexandra Daddario\Alexandra Daddario_57.jpg,Alexandra Daddario,session_01,validation,1,800,1199,True
Alexandra Daddario_58,processed\train\Alexandra Daddario\Alexandra Daddario_58.jpg,Alexandra Daddario,session_01,train,1,750,1128,True
Alexandra Daddario_6,processed\train\Alexandra Daddario\Alexandra Daddario_6.jpg,Alexandra Daddario,session_01,train,1,3000,1688,True
Alexandra Daddario_60,processed\train\Alexandra Daddario\Alexandra Daddario_60.jpg,Alexandra Daddario,session_01,train,1,1280,1920,True
Alexandra Daddario_61,processed\train\Alexandra Daddario\Alexandra Daddario_61.jpg,Alexandra Daddario,session_01,train,1,1200,1621,True
Alexandra Daddario_62,processed\train\Alexandra Daddario\Alexandra Daddario_62.jpg,Alexandra Daddario,session_01,train,1,466,700,True
Alexandra Daddario_63,processed\train\Alexandra Daddario\Alexandra Daddario_63.jpg,Alexandra Daddario,session_01,train,1,740,608,True
Alexandra Daddario_66,processed\train\Alexandra Daddario\Alexandra Daddario_66.jpg,Alexandra Daddario,session_01,train,1,675,960,True
Alexandra Daddario_68,processed\validation\Alexandra Daddario\Alexandra Daddario_68.jpg,Alexandra Daddario,session_01,validation,1,740,740,True
Alexandra Daddario_69,processed\validation\Alexandra Daddario\Alexandra Daddario_69.jpg,Alexandra Daddario,session_01,validation,1,680,1024,True
Alexandra Daddario_70,processed\validation\Alexandra Daddario\Alexandra Daddario_70.jpg,Alexandra Daddario,session_01,validation,1,700,440,True
Alexandra Daddario_71,processed\test\Alexandra Daddario\Alexandra Daddario_71.jpg,Alexandra Daddario,session_01,test,1,1280,1920,True
Alexandra Daddario_73,processed\train\Alexandra Daddario\Alexandra Daddario_73.jpg,Alexandra Daddario,session_01,train,1,425,531,True
Alexandra Daddario_75,processed\train\Alexandra Daddario\Alexandra Daddario_75.jpg,Alexandra Daddario,session_01,train,1,1776,2091,True
Alexandra Daddario_77,processed\train\Alexandra Daddario\Alexandra Daddario_77.jpg,Alexandra Daddario,session_01,train,1,2560,2460,True
Alexandra Daddario_78,processed\train\Alexandra Daddario\Alexandra Daddario_78.jpg,Alexandra Daddario,session_01,train,1,614,614,True
Alexandra Daddario_81,processed\validation\Alexandra Daddario\Alexandra Daddario_81.jpg,Alexandra Daddario,session_01,validation,1,474,684,True
Alexandra Daddario_82,processed\train\Alexandra Daddario\Alexandra Daddario_82.jpg,Alexandra Daddario,session_01,train,1,458,618,True
Alexandra Daddario_83,processed\train\Alexandra Daddario\Alexandra Daddario_83.jpg,Alexandra Daddario,session_01,train,1,474,711,True
Alexandra Daddario_84,processed\train\Alexandra Daddario\Alexandra Daddario_84.jpg,Alexandra Daddario,session_01,train,1,800,800,True
Alexandra Daddario_86,processed\train\Alexandra Daddario\Alexandra Daddario_86.jpg,Alexandra Daddario,session_01,train,1,590,608,True
Alexandra Daddario_87,processed\train\Alexandra Daddario\Alexandra Daddario_87.jpg,Alexandra Daddario,session_01,train,1,1200,1800,True
Alexandra Daddario_88,processed\validation\Alexandra Daddario\Alexandra Daddario_88.jpg,Alexandra Daddario,session_01,validation,1,1200,1800,True
Alexandra Daddario_89,processed\validation\Alexandra Daddario\Alexandra Daddario_89.jpg,Alexandra Daddario,session_01,validation,1,1280,1923,True
Alexandra Daddario_9,processed\test\Alexandra Daddario\Alexandra Daddario_9.jpg,Alexandra Daddario,session_01,test,1,761,1024,True
Alexandra Daddario_90,processed\validation\Alexandra Daddario\Alexandra Daddario_90.jpg,Alexandra Daddario,session_01,validation,1,474,474,True
Alexandra Daddario_91,processed\train\Alexandra Daddario\Alexandra Daddario_91.jpg,Alexandra Daddario,session_01,train,1,1024,1539,True
Alia Bhatt_10,processed\validation\Alia Bhatt\Alia Bhatt_10.jpg,Alia Bhatt,session_01,validation,1,675,900,True
Alia Bhatt_11,processed\validation\Alia Bhatt\Alia Bhatt_11.jpg,Alia Bhatt,session_01,validation,1,1920,1080,True
Alia Bhatt_12,processed\validation\Alia Bhatt\Alia Bhatt_12.jpg,Alia Bhatt,session_01,validation,1,1300,1500,True
Alia Bhatt_14,processed\test\Alia Bhatt\Alia Bhatt_14.jpg,Alia Bhatt,session_01,test,1,800,1117,True
Alia Bhatt_15,processed\train\Alia Bhatt\Alia Bhatt_15.jpg,Alia Bhatt,session_01,train,1,750,900,True
Alia Bhatt_17,processed\test\Alia Bhatt\Alia Bhatt_17.jpg,Alia Bhatt,session_01,test,1,720,1056,True
Alia Bhatt_18,processed\validation\Alia Bhatt\Alia Bhatt_18.jpg,Alia Bhatt,session_01,validation,1,1600,1067,True
Alia Bhatt_20,processed\train\Alia Bhatt\Alia Bhatt_20.jpg,Alia Bhatt,session_01,train,1,1920,1080,True
Alia Bhatt_23,processed\train\Alia Bhatt\Alia Bhatt_23.jpg,Alia Bhatt,session_01,train,1,1300,1500,True
Alia Bhatt_24,processed\train\Alia Bhatt\Alia Bhatt_24.jpg,Alia Bhatt,session_01,train,1,1024,1535,True
Alia Bhatt_26,processed\validation\Alia Bhatt\Alia Bhatt_26.jpg,Alia Bhatt,session_01,validation,1,1600,900,True
Alia Bhatt_28,processed\train\Alia Bhatt\Alia Bhatt_28.jpg,Alia Bhatt,session_01,train,1,1600,900,True
Alia Bhatt_3,processed\train\Alia Bhatt\Alia Bhatt_3.jpg,Alia Bhatt,session_01,train,1,1080,1920,True
Alia Bhatt_33,processed\train\Alia Bhatt\Alia Bhatt_33.jpg,Alia Bhatt,session_01,train,1,1920,1080,True
Alia Bhatt_34,processed\test\Alia Bhatt\Alia Bhatt_34.jpg,Alia Bhatt,session_01,test,1,1067,1600,True
Alia Bhatt_36,processed\train\Alia Bhatt\Alia Bhatt_36.jpg,Alia Bhatt,session_01,train,1,502,640,True
Alia Bhatt_38,processed\train\Alia Bhatt\Alia Bhatt_38.jpg,Alia Bhatt,session_01,train,1,1113,1600,True
Alia Bhatt_4,processed\train\Alia Bhatt\Alia Bhatt_4.jpg,Alia Bhatt,session_01,train,1,640,960,True
Alia Bhatt_41,processed\train\Alia Bhatt\Alia Bhatt_41.jpg,Alia Bhatt,session_01,train,1,1920,1080,True
Alia Bhatt_42,processed\test\Alia Bhatt\Alia Bhatt_42.jpg,Alia Bhatt,session_01,test,1,759,1120,True
Alia Bhatt_43,processed\train\Alia Bhatt\Alia Bhatt_43.jpg,Alia Bhatt,session_01,train,1,1100,1420,True
Alia Bhatt_44,processed\validation\Alia Bhatt\Alia Bhatt_44.jpg,Alia Bhatt,session_01,validation,1,1280,720,True
Alia Bhatt_46,processed\test\Alia Bhatt\Alia Bhatt_46.jpg,Alia Bhatt,session_01,test,1,1280,720,True
Alia Bhatt_47,processed\train\Alia Bhatt\Alia Bhatt_47.jpg,Alia Bhatt,session_01,train,1,474,667,True
Alia Bhatt_5,processed\train\Alia Bhatt\Alia Bhatt_5.jpg,Alia Bhatt,session_01,train,1,1920,1080,True
Alia Bhatt_50,processed\train\Alia Bhatt\Alia Bhatt_50.jpg,Alia Bhatt,session_01,train,1,950,1352,True
Alia Bhatt_51,processed\test\Alia Bhatt\Alia Bhatt_51.jpg,Alia Bhatt,session_01,test,1,474,474,True
Alia Bhatt_54,processed\validation\Alia Bhatt\Alia Bhatt_54.jpg,Alia Bhatt,session_01,validation,1,1200,1200,True
Alia Bhatt_55,processed\train\Alia Bhatt\Alia Bhatt_55.jpg,Alia Bhatt,session_01,train,1,474,474,True
Alia Bhatt_56,processed\train\Alia Bhatt\Alia Bhatt_56.jpg,Alia Bhatt,session_01,train,1,2048,2048,True
Alia Bhatt_57,processed\train\Alia Bhatt\Alia Bhatt_57.jpg,Alia Bhatt,session_01,train,1,1600,1000,True
Alia Bhatt_58,processed\train\Alia Bhatt\Alia Bhatt_58.jpg,Alia Bhatt,session_01,train,1,1067,1600,True
Alia Bhatt_59,processed\train\Alia Bhatt\Alia Bhatt_59.jpg,Alia Bhatt,session_01,train,1,542,813,True
Alia Bhatt_60,processed\test\Alia Bhatt\Alia Bhatt_60.jpg,Alia Bhatt,session_01,test,1,1231,1600,True
Alia Bhatt_61,processed\train\Alia Bhatt\Alia Bhatt_61.jpg,Alia Bhatt,session_01,train,1,1024,1444,True
Alia Bhatt_62,processed\test\Alia Bhatt\Alia Bhatt_62.jpg,Alia Bhatt,session_01,test,1,2160,3840,True
Alia Bhatt_68,processed\train\Alia Bhatt\Alia Bhatt_68.jpg,Alia Bhatt,session_01,train,1,1000,1500,True
Alia Bhatt_71,processed\train\Alia Bhatt\Alia Bhatt_71.jpg,Alia Bhatt,session_01,train,1,1067,1600,True
Alia Bhatt_73,processed\validation\Alia Bhatt\Alia Bhatt_73.jpg,Alia Bhatt,session_01,validation,1,950,1087,True
Alia Bhatt_75,processed\train\Alia Bhatt\Alia Bhatt_75.jpg,Alia Bhatt,session_01,train,1,1920,1080,True
Alia Bhatt_78,processed\train\Alia Bhatt\Alia Bhatt_78.jpg,Alia Bhatt,session_01,train,1,541,761,True
Amitabh Bachchan_10,processed\train\Amitabh Bachchan\Amitabh Bachchan_10.jpg,Amitabh Bachchan,session_01,train,1,1102,1158,True
Amitabh Bachchan_11,processed\validation\Amitabh Bachchan\Amitabh Bachchan_11.jpg,Amitabh Bachchan,session_01,validation,1,700,465,True
Amitabh Bachchan_12,processed\validation\Amitabh Bachchan\Amitabh Bachchan_12.jpg,Amitabh Bachchan,session_01,validation,1,388,463,True
Amitabh Bachchan_13,processed\validation\Amitabh Bachchan\Amitabh Bachchan_13.jpg,Amitabh Bachchan,session_01,validation,1,1200,625,True
Amitabh Bachchan_14,processed\test\Amitabh Bachchan\Amitabh Bachchan_14.jpg,Amitabh Bachchan,session_01,test,1,959,674,True
Amitabh Bachchan_15,processed\test\Amitabh Bachchan\Amitabh Bachchan_15.jpg,Amitabh Bachchan,session_01,test,1,750,563,True
Amitabh Bachchan_16,processed\train\Amitabh Bachchan\Amitabh Bachchan_16.jpg,Amitabh Bachchan,session_01,train,1,251,319,True
Amitabh Bachchan_18,processed\train\Amitabh Bachchan\Amitabh Bachchan_18.jpg,Amitabh Bachchan,session_01,train,1,725,423,True
Amitabh Bachchan_19,processed\test\Amitabh Bachchan\Amitabh Bachchan_19.jpg,Amitabh Bachchan,session_01,test,1,540,720,True
Amitabh Bachchan_2,processed\train\Amitabh Bachchan\Amitabh Bachchan_2.jpg,Amitabh Bachchan,session_01,train,1,770,433,True
Amitabh Bachchan_20,processed\train\Amitabh Bachchan\Amitabh Bachchan_20.jpg,Amitabh Bachchan,session_01,train,1,1024,1024,True
Amitabh Bachchan_21,processed\train\Amitabh Bachchan\Amitabh Bachchan_21.jpg,Amitabh Bachchan,session_01,train,1,1280,720,True
Amitabh Bachchan_22,processed\train\Amitabh Bachchan\Amitabh Bachchan_22.jpg,Amitabh Bachchan,session_01,train,1,1280,720,True
Amitabh Bachchan_23,processed\test\Amitabh Bachchan\Amitabh Bachchan_23.jpg,Amitabh Bachchan,session_01,test,1,1200,800,True
Amitabh Bachchan_24,processed\test\Amitabh Bachchan\Amitabh Bachchan_24.jpg,Amitabh Bachchan,session_01,test,1,585,814,True
Amitabh Bachchan_25,processed\train\Amitabh Bachchan\Amitabh Bachchan_25.jpg,Amitabh Bachchan,session_01,train,1,644,800,True
Amitabh Bachchan_26,processed\train\Amitabh Bachchan\Amitabh Bachchan_26.jpg,Amitabh Bachchan,session_01,train,1,1920,1200,True
Amitabh Bachchan_27,processed\train\Amitabh Bachchan\Amitabh Bachchan_27.jpg,Amitabh Bachchan,session_01,train,1,770,433,True
Amitabh Bachchan_28,processed\train\Amitabh Bachchan\Amitabh Bachchan_28.jpg,Amitabh Bachchan,session_01,train,1,400,580,True
Amitabh Bachchan_29,processed\train\Amitabh Bachchan\Amitabh Bachchan_29.jpg,Amitabh Bachchan,session_01,train,1,1200,674,True
Amitabh Bachchan_3,processed\test\Amitabh Bachchan\Amitabh Bachchan_3.jpg,Amitabh Bachchan,session_01,test,1,790,444,True
Amitabh Bachchan_31,processed\train\Amitabh Bachchan\Amitabh Bachchan_31.jpg,Amitabh Bachchan,session_01,train,1,545,754,True
Amitabh Bachchan_33,processed\test\Amitabh Bachchan\Amitabh Bachchan_33.jpg,Amitabh Bachchan,session_01,test,1,348,357,True
Amitabh Bachchan_34,processed\train\Amitabh Bachchan\Amitabh Bachchan_34.jpg,Amitabh Bachchan,session_01,train,1,720,480,True
Amitabh Bachchan_36,processed\train\Amitabh Bachchan\Amitabh Bachchan_36.jpg,Amitabh Bachchan,session_01,train,1,647,363,True
Amitabh Bachchan_37,processed\test\Amitabh Bachchan\Amitabh Bachchan_37.jpg,Amitabh Bachchan,session_01,test,1,640,467,True
Amitabh Bachchan_38,processed\validation\Amitabh Bachchan\Amitabh Bachchan_38.jpg,Amitabh Bachchan,session_01,validation,1,1280,720,True
Amitabh Bachchan_4,processed\train\Amitabh Bachchan\Amitabh Bachchan_4.jpg,Amitabh Bachchan,session_01,train,1,759,422,True
Amitabh Bachchan_40,processed\validation\Amitabh Bachchan\Amitabh Bachchan_40.jpg,Amitabh Bachchan,session_01,validation,1,620,450,True
Amitabh Bachchan_41,processed\train\Amitabh Bachchan\Amitabh Bachchan_41.jpg,Amitabh Bachchan,session_01,train,1,1199,999,True
Amitabh Bachchan_42,processed\validation\Amitabh Bachchan\Amitabh Bachchan_42.jpg,Amitabh Bachchan,session_01,validation,1,745,800,True
Amitabh Bachchan_43,processed\train\Amitabh Bachchan\Amitabh Bachchan_43.jpg,Amitabh Bachchan,session_01,train,1,692,960,True
Amitabh Bachchan_45,processed\train\Amitabh Bachchan\Amitabh Bachchan_45.jpg,Amitabh Bachchan,session_01,train,1,620,450,True
Amitabh Bachchan_46,processed\validation\Amitabh Bachchan\Amitabh Bachchan_46.jpg,Amitabh Bachchan,session_01,validation,1,750,750,True
Amitabh Bachchan_47,processed\train\Amitabh Bachchan\Amitabh Bachchan_47.jpg,Amitabh Bachchan,session_01,train,1,474,291,True
Amitabh Bachchan_48,processed\train\Amitabh Bachchan\Amitabh Bachchan_48.jpg,Amitabh Bachchan,session_01,train,1,960,543,True
Amitabh Bachchan_49,processed\train\Amitabh Bachchan\Amitabh Bachchan_49.jpg,Amitabh Bachchan,session_01,train,1,452,317,True
Amitabh Bachchan_5,processed\test\Amitabh Bachchan\Amitabh Bachchan_5.jpg,Amitabh Bachchan,session_01,test,1,1000,800,True
Amitabh Bachchan_51,processed\train\Amitabh Bachchan\Amitabh Bachchan_51.jpg,Amitabh Bachchan,session_01,train,1,474,266,True
Amitabh Bachchan_52,processed\validation\Amitabh Bachchan\Amitabh Bachchan_52.jpg,Amitabh Bachchan,session_01,validation,1,800,448,True
Amitabh Bachchan_54,processed\train\Amitabh Bachchan\Amitabh Bachchan_54.jpg,Amitabh Bachchan,session_01,train,1,850,637,True
Amitabh Bachchan_55,processed\train\Amitabh Bachchan\Amitabh Bachchan_55.jpg,Amitabh Bachchan,session_01,train,1,462,518,True
Amitabh Bachchan_56,processed\train\Amitabh Bachchan\Amitabh Bachchan_56.jpg,Amitabh Bachchan,session_01,train,1,640,480,True
Amitabh Bachchan_57,processed\train\Amitabh Bachchan\Amitabh Bachchan_57.jpg,Amitabh Bachchan,session_01,train,1,780,958,True
Amitabh Bachchan_59,processed\train\Amitabh Bachchan\Amitabh Bachchan_59.jpg,Amitabh Bachchan,session_01,train,1,1200,1269,True
Amitabh Bachchan_6,processed\validation\Amitabh Bachchan\Amitabh Bachchan_6.jpg,Amitabh Bachchan,session_01,validation,1,1280,720,True
Amitabh Bachchan_60,processed\train\Amitabh Bachchan\Amitabh Bachchan_60.jpg,Amitabh Bachchan,session_01,train,1,700,991,True
Amitabh Bachchan_61,processed\validation\Amitabh Bachchan\Amitabh Bachchan_61.jpg,Amitabh Bachchan,session_01,validation,1,1000,805,True
Amitabh Bachchan_62,processed\train\Amitabh Bachchan\Amitabh Bachchan_62.jpg,Amitabh Bachchan,session_01,train,1,980,450,True
Amitabh Bachchan_63,processed\train\Amitabh Bachchan\Amitabh Bachchan_63.jpg,Amitabh Bachchan,session_01,train,1,584,605,True
Amitabh Bachchan_65,processed\train\Amitabh Bachchan\Amitabh Bachchan_65.jpg,Amitabh Bachchan,session_01,train,1,640,400,True
Amitabh Bachchan_66,processed\train\Amitabh Bachchan\Amitabh Bachchan_66.jpg,Amitabh Bachchan,session_01,train,1,1000,800,True
Amitabh Bachchan_67,processed\validation\Amitabh Bachchan\Amitabh Bachchan_67.jpg,Amitabh Bachchan,session_01,validation,1,670,842,True
Amitabh Bachchan_68,processed\test\Amitabh Bachchan\Amitabh Bachchan_68.jpg,Amitabh Bachchan,session_01,test,1,1100,619,True
Amitabh Bachchan_69,processed\test\Amitabh Bachchan\Amitabh Bachchan_69.jpg,Amitabh Bachchan,session_01,test,1,759,422,True
Amitabh Bachchan_7,processed\train\Amitabh Bachchan\Amitabh Bachchan_7.jpg,Amitabh Bachchan,session_01,train,1,1280,720,True
Amitabh Bachchan_70,processed\validation\Amitabh Bachchan\Amitabh Bachchan_70.jpg,Amitabh Bachchan,session_01,validation,1,1280,720,True
Amitabh Bachchan_71,processed\train\Amitabh Bachchan\Amitabh Bachchan_71.jpg,Amitabh Bachchan,session_01,train,1,623,657,True
Amitabh Bachchan_72,processed\train\Amitabh Bachchan\Amitabh Bachchan_72.jpg,Amitabh Bachchan,session_01,train,1,931,524,True
Amitabh Bachchan_73,processed\train\Amitabh Bachchan\Amitabh Bachchan_73.jpg,Amitabh Bachchan,session_01,train,1,440,587,True
